Option,Scripts
-e,check-cf.sh
-s,check-cf.sh
--account,cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;mcp-cf.sh;onboard-zone.sh;verify-cf-auth.sh
--account-name,cloud-redirect.sh;cloud-settings.sh;onboard-zone.sh
--all,rules-cf.sh
--allow-redirects,rules-cf.sh
--allow-root,check-origin.sh;check-server.sh;check-wp.sh;cloudflare-ips.sh;test-record.sh;verify-domain.sh
--always-use-https,cloud-settings.sh
--apache-dir,apache-vhost.sh;check-origin.sh;check-read.sh;test-record.sh;verify-domain.sh
--api,check-edge.sh;check-read.sh;get-cert.sh;test-record.sh;verify-domain.sh
--apply,mcp-cf.sh;rules-cf.sh
--auth,check-cf.sh;check-edge.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-record.sh;verify-cf-auth.sh
--auth-file,check-auth-domains.sh;check-cf.sh;check-edge.sh;check-read.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-record.sh;verify-cf-auth.sh
--auto,get-cert.sh
--autosite,check-read.sh;check-wp.sh;test-record.sh
--bearer,mcp-cf.sh
--ca-key,get-cert.sh;test-record.sh;verify-cf-auth.sh
--cache,test-load.sh
--cache-bust,test-load.sh
--catalog,mcp-cf.sh
--check-ids,check-auth-domains.sh
--connections,test-load.sh
--create,cloud-dns.sh
--date,cloud-redirect.sh;onboard-zone.sh;test-record.sh
--dns-provider,onboard-zone.sh
--domain,apache-vhost.sh;check-edge.sh;check-origin.sh;check-read.sh;check-wp.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;install-site.sh;onboard-zone.sh;rules-cf.sh;test-load.sh;test-record.sh;verify-domain.sh
--domains-file,check-auth-domains.sh;check-read.sh;cloud-redirect.sh;cloud-settings.sh;onboard-zone.sh;test-record.sh
--downgrade,cloud-redirect.sh;onboard-zone.sh;test-record.sh
--dry-run,cloud-redirect.sh;cloud-settings.sh
--duration,test-load.sh
--email,check-cf.sh;check-edge.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-record.sh;verify-cf-auth.sh
--export,rules-cf.sh
--force,get-cert.sh
--head,test-load.sh
--help,apache-vhost.sh;check-auth-domains.sh;check-cf.sh;check-edge.sh;check-origin.sh;check-read.sh;check-server.sh;check-wp.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;cloudflare-ips.sh;get-cert.sh;install-site.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-load.sh;test-record.sh;verify-cf-auth.sh;verify-domain.sh
--hsts,check-edge.sh;test-record.sh;verify-domain.sh
--http,apache-vhost.sh
--http-timeout,check-edge.sh;test-record.sh;verify-domain.sh
--include-ignore,check-read.sh;test-record.sh
--init,test-load.sh
--input,rules-cf.sh
--interval,test-load.sh
--ip,onboard-zone.sh
--key,check-cf.sh;check-edge.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-record.sh;verify-cf-auth.sh
--load,test-load.sh
--managed-add-security-headers,cloud-settings.sh
--manual,get-cert.sh
--min-tls-version,cloud-settings.sh
--multisite,check-read.sh;check-wp.sh;test-record.sh
--multisite-domain,onboard-zone.sh
--no-sudo,check-origin.sh;check-server.sh;check-wp.sh;cloudflare-ips.sh;test-record.sh;verify-domain.sh
--telemetry,test-load.sh
--norecord,cloud-redirect.sh;onboard-zone.sh;test-record.sh
--out-dir,test-load.sh
--output,cloudflare-ips.sh;rules-cf.sh
--portal-url,mcp-cf.sh
--raw,check-cf.sh
--rate,test-load.sh
--report,test-load.sh
--redirect-url,cloud-redirect.sh;onboard-zone.sh
--registrar,onboard-zone.sh
--run-id,test-load.sh
--singlesite,check-read.sh;check-wp.sh;test-record.sh
--site-type,check-read.sh;onboard-zone.sh;test-record.sh
--site-types,cloud-settings.sh
--source,rules-cf.sh
--ssl,apache-vhost.sh;cloud-settings.sh
--ssl-dir,apache-vhost.sh;check-origin.sh;check-read.sh;get-cert.sh;test-record.sh;verify-domain.sh
--stage,check-wp.sh
--state,check-read.sh;test-record.sh
--template,apache-vhost.sh
--template-check,check-wp.sh
--template-dir,check-wp.sh
--threads,test-load.sh
--token,check-cf.sh;check-edge.sh;cloud-dns.sh;cloud-redirect.sh;cloud-settings.sh;get-cert.sh;mcp-cf.sh;onboard-zone.sh;rules-cf.sh;test-record.sh;verify-cf-auth.sh
--ufw,cloudflare-ips.sh
--update,cloud-dns.sh
--wp-root,apache-vhost.sh;check-origin.sh;check-read.sh;check-wp.sh;install-site.sh;test-record.sh;verify-domain.sh
--zone,check-cf.sh;check-edge.sh
--zone-id,check-cf.sh;check-edge.sh;verify-cf-auth.sh
